"","ent_mun","year","month","homicides","pop_est","homicide_rate","mun","first_place_raw_votes","second_place_raw_votes","efec","first_place_party","second_place_party","alternation_index","pan_consec_yrs_in_pwr","date","election_year","post_election_avg_rate"
"1","01001",2001,"08",1,643524.096600344,1.83089617416975,"AGUASCALIENTES",79398,54100,159520,"pan","pri",0,1,2001-08-01,1,2.98021302074506
"2","01001",2004,"08",0,643753.391515319,0,"AGUASCALIENTES",112123,87528.15,229896,"pan","pri",0,2,2004-08-01,1,3.12361904962914
"3","01001",2007,"08",5,643982.475980894,9.14796481578925,"AGUASCALIENTES",69266,57615.68,201007,"pri","pan",1,0,2007-08-01,1,4.1471418815124
"4","01001",2010,"07",3,797013.916071187,4.43490050560062,"AGUASCALIENTES",144331.99,99333,283504,"pri","pan",1,0,2010-07-01,1,4.80723697961236
"5","01001",2013,"07",6,797239.605436981,8.86729007251821,"AGUASCALIENTES",94879,82051,239292,"pan","pri",2,1,2013-07-01,1,4.73578693176444
"6","01001",2016,"06",2,797465.39842042,3.05342401666972,"AGUASCALIENTES",117189,83187.91,285784,"pan","pri",2,2,2016-06-01,1,5.03991678712094
"7","01001",2019,"06",8,797690.984168569,12.2102420527568,"AGUASCALIENTES",111404,52944,210350,"pan","morena",2,3,2019-06-01,1,5.29630201526681
"8","01002",2001,"08",0,37768.2886668103,0,"ASIENTOS",4064,3572,11906,"pri","pan",0,0,2001-08-01,1,0.920842201124559
"9","01002",2004,"08",0,37779.8272361135,0,"ASIENTOS",6829,3704.66,14462,"pan","prd",1,1,2004-08-01,1,1.80069091463135
"10","01002",2007,"08",0,37791.3552151905,0,"ASIENTOS",7011,4433.52,15189,"pri","pan",2,0,2007-08-01,1,2.35891878699426
"11","01002",2010,"07",0,45492.1557358485,0,"ASIENTOS",7515,6034.72,17145,"pan","pri",3,1,2010-07-01,1,3.0886504144253
"12","01002",2013,"07",0,45501.1310386966,0,"ASIENTOS",8216,6003,20056,"pna","pri",4,0,2013-07-01,1,2.78022595393568
"13","01002",2016,"06",0,45510.1104622517,0,"ASIENTOS",7940.47,7130,20692,"pna","pan",4,0,2016-06-01,1,3.5378072084447
"14","01002",2019,"06",0,45519.0816443929,0,"ASIENTOS",9585,6848,21802,"morena","pan",5,0,2019-06-01,1,3.51080097273826
"15","01003",2001,"08",0,51292.9467275295,0,"CALVILLO",7196,5119,15829,"pri","pan",0,0,2001-08-01,1,0.678139924086556
"16","01003",2004,"08",0,51297.1940078591,0,"CALVILLO",7452,4175.26,15004,"pan","prd",1,1,2004-08-01,1,0.992072215019853
"17","01003",2007,"08",0,51301.437389988,0,"CALVILLO",5107.73,4875,16401,"pan","pri",1,2,2007-08-01,1,0.881162396499244
"18","01003",2010,"07",0,54136.1060055064,0,"CALVILLO",6903.54,5710,20625,"pri","pan",2,0,2010-07-01,1,0.969403530681611
"19","01003",2013,"07",0,54142.2152702181,0,"CALVILLO",10661,5894,20854,"pan","pri",3,1,2013-07-01,1,1.51943081035948
"20","01003",2016,"06",0,54148.3273397921,0,"CALVILLO",12334,6253.58,23412,"pan","pri",3,2,2016-06-01,1,2.29093433926569
"21","01003",2019,"06",2,54154.4337996414,44.9640007133844,"CALVILLO",8752,4821,20251,"pan","pla",3,3,2019-06-01,1,2.33738929011265
"22","01004",2001,"08",0,12620.6579686481,0,"COSIO",2633,2078,5314,"pri","pan",0,0,2001-08-01,1,2.66708599220912
"23","01004",2004,"08",0,12624.2752481696,0,"COSIO",2544,1832.97,5575,"pan","pri",1,1,2004-08-01,1,1.31476070038478
"24","01004",2007,"08",1,12627.8892077121,93.303464028814,"COSIO",2501,1427.74,5997,"pri","pan",2,0,2007-08-01,1,0.880641601201124
"25","01004",2010,"07",0,15042.0504518186,0,"COSIO",2723.69,1749,6433,"pri","pan",2,0,2010-07-01,1,3.61665316444545
"26","01004",2013,"07",0,15044.9580697829,0,"COSIO",3427,1907,7327,"pri","pan",2,0,2013-07-01,1,3.7862819317132
"27","01004",2016,"06",0,15047.8670226818,0,"COSIO",2101,1781,7635,"indep","pvem",3,0,2016-06-01,1,3.89374960191912
"28","01004",2019,"06",0,15050.7733057117,0,"COSIO",2537,2289,8237,"pvem","pri",4,0,2019-06-01,1,4.52567795628028
"29","01005",2001,"08",0,64121.2865378572,0,"JESUS MARIA",8583,6036,16478,"pri","pan",0,0,2001-08-01,1,0
"30","01005",2004,"08",1,64174.2737859199,18.3597840215859,"JESUS MARIA",9244,7911.42,20276,"pan","pri",1,1,2004-08-01,1,1.30098911884531
"31","01005",2007,"08",1,64227.2124017024,18.3446511594264,"JESUS MARIA",9980,7170.84,20828,"pri","pan",2,0,2007-08-01,1,2.66155854640466
"32","01005",2010,"07",0,99590.7817455175,0,"JESUS MARIA",14155.77,10725,28030,"pri","pan",2,0,2010-07-01,1,3.47703671386449
"33","01005",2013,"07",0,99635.8349740267,0,"JESUS MARIA",14296,9832,29337,"pan","pri",3,1,2013-07-01,1,3.40449122617613
"34","01005",2016,"06",1,99680.908887203,12.2139737046108,"JESUS MARIA",16009,11829.48,34972,"pan","pri",3,2,2016-06-01,1,3.84927149836392
"35","01005",2019,"06",0,99725.941431045,0,"JESUS MARIA",12171,6020,28209,"pan","jose_luis_mares_medina",3,3,2019-06-01,1,4.71554656715196
"36","01006",2001,"08",0,34301.1771319817,0,"PABELLON DE ARTEAGA",5278,3881,11493,"pri","pan",0,0,2001-08-01,1,0.981304558437773
"37","01006",2004,"08",1,34312.4723597405,34.3381203807991,"PABELLON DE ARTEAGA",4983,4160.93,12844,"pan","pri",1,1,2004-08-01,1,1.45101268037916
"38","01006",2007,"08",1,34323.7572206148,34.3268307976486,"PABELLON DE ARTEAGA",3792,3312,13487,"prd","pri",2,0,2007-08-01,1,2.9710657092976
"39","01006",2010,"07",1,41862.1490364242,28.1453731729453,"PABELLON DE ARTEAGA",5174.05,3153,15318,"pna","pan",3,0,2010-07-01,1,3.27216808205054
"40","01006",2013,"07",1,41870.7382408705,28.1395995378351,"PABELLON DE ARTEAGA",6268,5650,17557,"pna","pri",3,0,2013-07-01,1,3.10208244138711
"41","01006",2016,"06",0,41879.3313887598,0,"PABELLON DE ARTEAGA",8085,2510,17996,"prd","pan",4,0,2016-06-01,1,3.66614403852996
"42","01006",2019,"06",0,41887.9166497632,0,"PABELLON DE ARTEAGA",9298,3723,17121,"prd","morena",4,0,2019-06-01,1,3.53619614591126
"43","01007",2001,"08",0,41660.1326549028,0,"RINCON DE ROMOS",4518,3746,13469,"pvem","pri",0,0,2001-08-01,1,3.28564317771279
"44","01007",2004,"08",0,41671.3308446225,0,"RINCON DE ROMOS",3876,2474.84,12578,"pan","prd",1,1,2004-08-01,1,2.41603423724929
"45","01007",2007,"08",4,41682.5187565201,113.066661190412,"RINCON DE ROMOS",5381,3160.42,14057,"pvem","pan",2,0,2007-08-01,1,4.44617529142273
"46","01007",2010,"07",1,49156.2116245076,23.9690115961701,"RINCON DE ROMOS",4186.69,3291,16589,"pri","pt",3,0,2010-07-01,1,5.16845408338066
"47","01007",2013,"07",0,49168.4078790231,0,"RINCON DE ROMOS",6184,4015,18702,"pt","pna",4,0,2013-07-01,1,5.10759351207476
"48","01007",2016,"06",0,49180.6097330366,0,"RINCON DE ROMOS",7470,4044.42,19773,"pan","pri",5,1,2016-06-01,1,4.81415365883546
"49","01007",2019,"06",0,49192.8003880541,0,"RINCON DE ROMOS",5487,4922,16005,"pan","pna",5,2,2019-06-01,1,4.74841320836358
"50","01008",2001,"08",0,7244.82043103966,0,"SAN JOSE DE GRACIA",1021,854,3023,"pt","pan",0,0,2001-08-01,1,0
"51","01008",2004,"08",0,7246.61040963903,0,"SAN JOSE DE GRACIA",1566,789.23,3307,"pan","prd",1,1,2004-08-01,1,2.28981068401067
"52","01008",2007,"08",0,7248.3987453763,0,"SAN JOSE DE GRACIA",928,878.19,3681,"pri","pan",2,0,2007-08-01,1,1.53374111853545
"53","01008",2010,"07",0,8443.02857562144,0,"SAN JOSE DE GRACIA",1483.09,1291,4071,"pri","pt",2,0,2010-07-01,1,2.16027891717177
"54","01008",2013,"07",0,8444.67543380453,0,"SAN JOSE DE GRACIA",1812,1149,4803,"pna","pri",3,0,2013-07-01,1,1.73310511999092
"55","01008",2016,"06",0,8446.32304808689,0,"SAN JOSE DE GRACIA",1882,955.63,4890,"pan","pri",4,1,2016-06-01,1,1.44018594478118
"56","01008",2019,"06",0,8447.9691501707,0,"SAN JOSE DE GRACIA",2573,1289,5008,"pan","morena",4,2,2019-06-01,1,1.2943443301198
"57","01009",2001,"08",0,16510.1622702964,0,"TEPEZALA",2546,1620,5678,"pri","pan",0,0,2001-08-01,1,2.03837962210323
"58","01009",2004,"08",0,16514.8798118927,0,"TEPEZALA",3122,2461.61,6620,"pan","pri",1,1,2004-08-01,1,1.00483502498047
"59","01009",2007,"08",0,16519.5930236773,0,"TEPEZALA",2701,1581.92,7261,"pri","pan",2,0,2007-08-01,1,0.673049875222765
"60","01009",2010,"07",0,19668.0725856858,0,"TEPEZALA",2627,2110.97,8214,"pan","pna",3,1,2010-07-01,1,0.938318681758768
"61","01009",2013,"07",0,19672.25581337,0,"TEPEZALA",3061,2712,9572,"pri","pna",4,0,2013-07-01,1,1.09115264643966
"62","01009",2016,"06",0,19676.4409616418,0,"TEPEZALA",3617,3554,10140,"pvem","pan",5,0,2016-06-01,1,1.75003353631109
"63","01009",2019,"06",0,19680.6222687384,0,"TEPEZALA",3281,2609,10783,"pvem","pan",5,0,2019-06-01,1,2.60001894527494
"64","01010",2001,"08",0,15329.3956038948,0,"LLANO--EL",2975,1424,5950,"pri","pan",0,0,2001-08-01,1,6.66023356875948
"65","01010",2004,"08",0,15334.6222219735,0,"LLANO--EL",3114,1877.74,6301,"pan","pri",1,1,2004-08-01,1,4.40120646657853
"66","01010",2007,"08",0,15339.8440430045,0,"LLANO--EL",2919,1886,7039,"pri","pvem",2,0,2007-08-01,1,4.85314004200622
"67","01010",2010,"07",0,18828.0521782087,0,"LLANO--EL",2870,2682.96,7683,"pt","pri",3,0,2010-07-01,1,6.39060570318754
"68","01010",2013,"07",0,18831.0592907612,0,"LLANO--EL",3715,3306,8761,"pt","pri",3,0,2013-07-01,1,5.49220245320942
"69","01010",2016,"06",0,18834.0677839278,0,"LLANO--EL",2447.5,2402,9636,"pt","prd",3,0,2016-06-01,1,6.0519617856307
"70","01010",2019,"06",1,18837.0735158663,64.6331819523088,"LLANO--EL",2684,2223,10322,"pt","pna",3,0,2019-06-01,1,6.23962387324594
"71","01011",2001,"08",0,20076.7449779948,0,"SAN FRANCISCO DE LOS ROMO",2402,1754,5751,"pri","pan",0,0,2001-08-01,1,0
"72","01011",2004,"08",0,20100.1878753642,0,"SAN FRANCISCO DE LOS ROMO",3465,2593.58,8154,"pan","pri",1,1,2004-08-01,1,1.65024049599065
"73","01011",2007,"08",1,20123.6092565839,58.5494277606354,"SAN FRANCISCO DE LOS ROMO",3828,3032,9404,"pvem","pri",2,0,2007-08-01,1,3.8835914644554
"74","01011",2010,"07",0,35769.6758173121,0,"SAN FRANCISCO DE LOS ROMO",4922.33,3194,11004,"pri","pan",3,0,2010-07-01,1,5.1982050521713
"75","01011",2013,"07",0,35808.6242360912,0,"SAN FRANCISCO DE LOS ROMO",4769,3995,12435,"pri","pna",3,0,2013-07-01,1,4.92586889247372
"76","01011",2016,"06",0,35847.5905367204,0,"SAN FRANCISCO DE LOS ROMO",5414,4974,14409,"pri","pan",3,0,2016-06-01,1,4.40708764305313
"77","01011",2019,"06",0,35886.5210736494,0,"SAN FRANCISCO DE LOS ROMO",4555,3577,13421,"pri","morena",3,0,2019-06-01,1,5.35530148087072
"78","02001",2004,"08",4,370939.189824651,12.705325711296,"ENSENADA",32604,28126.39,78628,"pan","pri",0,2,2004-08-01,1,11.7872460652558
"79","02001",2007,"08",4,371082.501293358,12.7004189348198,"ENSENADA",52401.34,50217.66,115110,"pan","pri",0,3,2007-08-01,1,14.5499703823441
"80","02001",2010,"07",2,466813.407178248,5.04795187256358,"ENSENADA",54472.13,35614.52,112473,"pri","pan",1,0,2010-07-01,1,13.8635258026768
"81","02001",2013,"07",9,466779.24192467,22.7174460765241,"ENSENADA",48184.52,36272.21,132396,"pri","pan",1,0,2013-07-01,1,13.44938535236
"82","02001",2016,"06",4,466745.06098527,10.4339615072085,"ENSENADA",29017,28821,128587,"pan","omar_garcia_arambula",2,1,2016-06-01,1,17.4230675492939
"83","02001",2019,"06",27,466710.911417514,70.4343935310153,"ENSENADA",49887.65,21640,113178,"morena","pan",3,0,2019-06-01,1,23.6573880782075
"84","02002",2004,"08",8,764976.958456774,12.3216867480925,"MEXICALI",63855,54572.47,141387,"pan","pri",0,2,2004-08-01,1,13.2761652630919
"85","02002",2007,"08",2,765233.834465128,3.07938764175307,"MEXICALI",129820.92,98266.9,256907,"pan","pri",0,3,2007-08-01,1,14.8779913730193
"86","02002",2010,"07",14,936828.9107968,17.6074426186239,"MEXICALI",94355.3,93650.59,228713,"pri","pan",1,0,2010-07-01,1,14.8148294405871
"87","02002",2013,"07",12,936996.66461241,15.089391682379,"MEXICALI",98586.07,86574.02,262391,"pan","pri",2,1,2013-07-01,1,14.3441702327504
"88","02002",2016,"06",8,937164.495446514,10.3930527109431,"MEXICALI",83503,55575.82,230679,"pan","pri",2,2,2016-06-01,1,14.1945592623063
"89","02002",2019,"06",8,937332.172243628,10.3911935260752,"MEXICALI",104916.67,84287,253291,"morena","pan",3,0,2019-06-01,1,14.1400032555007
"90","02003",2004,"08",1,77845.6928924396,15.135401364846,"TECATE",9247.1,9216,21494,"pri","pan",0,0,2004-08-01,1,19.2984845651358
"91","02003",2007,"08",2,77880.4215073744,30.2573043043956,"TECATE",13112.46,13020.35,28233,"pan","pri",1,1,2007-08-01,1,33.1929996461564
"92","02003",2010,"07",1,101079.189671009,11.6564627228065,"TECATE",17203.57,9161.65,28591,"pri","pan",2,0,2010-07-01,1,32.8970015274741
"93","02003",2013,"07",0,101090.120710762,0,"TECATE",13326.91,12750.58,32695,"pri","pan",2,0,2013-07-01,1,31.1159727849428
"94","02003",2016,"06",4,101101.056769132,48.169625082365,"TECATE",8097,7982.86,28779,"pan","pri",3,1,2016-06-01,1,38.0446691438963
"95","02003",2019,"06",8,101111.982790267,96.328839878487,"TECATE",9092.23,6927,27835,"morena","pan",4,0,2019-06-01,1,53.5327145043084
"96","02004",2004,"08",21,1211579.5290558,20.421888404442,"TIJUANA",134428,109023.18,286312,"pan","pri",0,2,2004-08-01,1,22.5565240746804
"97","02004",2007,"08",20,1212099.8661453,19.4410681720243,"TIJUANA",200176.96,171640.37,421458,"pan","pri",0,3,2007-08-01,1,38.6517952227122
"98","02004",2010,"07",107,1559692.34930431,80.8301466289522,"TIJUANA",154904.81,154745.07,366074,"pri","pan",1,0,2010-07-01,1,36.9650840281266
"99","02004",2013,"07",40,1560231.16447397,30.2064420524211,"TIJUANA",161622.37,122097.4,450486,"pan","pes",2,1,2013-07-01,1,37.344927613862
"100","02004",2016,"06",60,1560770.2270224,46.8038143829555,"TIJUANA",95252,91125,394441,"pan","pes",2,2,2016-06-01,1,50.5169838573157
"101","02004",2019,"06",220,1561308.79481329,171.554788450437,"TIJUANA",146497.38,139475,392664,"morena","prd",3,0,2019-06-01,1,58.8762566612894
"102","02005",2004,"08",0,63479.3231374847,0,"PLAYAS DE ROSARITO",7056,4539,16152,"pan","prd",0,2,2004-08-01,1,22.3014859905134
"103","02005",2007,"08",2,63519.9641484683,37.0978108141777,"PLAYAS DE ROSARITO",13977.45,9445.86,26829,"pri","pan",1,0,2007-08-01,1,36.4236754458909
"104","02005",2010,"07",5,90668.9333328764,64.9740635045274,"PLAYAS DE ROSARITO",11979.29,8490.41,23537,"pri","pan",1,0,2010-07-01,1,37.3405454491447
"105","02005",2013,"07",1,90722.7227802233,12.9871080843316,"PLAYAS DE ROSARITO",15046.2,10453.93,32505,"pan","pri",2,1,2013-07-01,1,39.4828911753442
"106","02005",2016,"06",0,90776.536923177,0,"PLAYAS DE ROSARITO",10334,6422.84,28491,"pan","pri",2,2,2016-06-01,1,53.1067676680628
"107","02005",2019,"06",14,90830.3016749172,187.657639418663,"PLAYAS DE ROSARITO",11855.22,8019,27764,"morena","pan",3,0,2019-06-01,1,59.3053790264307
"108","03001",2002,"02",0,63872.2149375583,0,"COMONDU",8694,8065,24640,"prd","pri",0,0,2002-02-01,1,5.02383129746687
"109","03001",2005,"02",0,63882.5887662774,0,"COMONDU",9780,7957,24850,"prd","pri",0,0,2005-02-01,1,4.84654644724956
"110","03001",2008,"02",0,63892.9673577893,0,"COMONDU",10364,6721,21313,"prd","pan",0,0,2008-02-01,1,5.94892006906123
"111","03001",2011,"02",0,70817.1482867537,0,"COMONDU",17032,8239,31839,"pan","prd",1,1,2011-02-01,1,4.67910239223852
"112","03001",2015,"06",0,70821.5141686818,0,"COMONDU",8281.83,6538,22893,"pri","pan",2,0,2015-06-01,1,8.00146106235435
"113","03001",2018,"07",0,70824.7885801279,0,"COMONDU",9856.92,7823,31437,"morena","pri",3,0,2018-07-01,1,8.16281298680853
"114","03002",2002,"02",0,46004.509357804,0,"MULEGE",6808,6542,15162,"pri","prd",0,0,2002-02-01,1,5.70416583375261
"115","03002",2005,"02",1,46024.0945853555,28.3430732851257,"MULEGE",7725,5595,17149,"prd","pri",1,0,2005-02-01,1,6.04012297353444
"116","03002",2008,"02",0,46043.6888048022,0,"MULEGE",8188,7280,16924,"prd","pri",1,0,2008-02-01,1,5.96227168918171
"117","03002",2011,"02",0,59116.5559144613,0,"MULEGE",7849,7006,21496,"prd","pri",1,0,2011-02-01,1,6.16473234371456
"118","03002",2015,"06",0,59126.273714236,0,"MULEGE",6191,4615,16973,"pna","pan",2,0,2015-06-01,1,8.57445342761732
"119","03002",2018,"07",1,59133.562064067,19.9248238280503,"MULEGE",8393,6099.93,23775,"pna","morena",2,0,2018-07-01,1,10.1915919890404
"120","03003",2002,"02",1,196971.949054654,6.62258911471873,"PAZ--LA",26455,17559,63093,"prd","pvem",0,0,2002-02-01,1,5.92463883779285
"121","03003",2005,"02",1,197053.966764913,6.61983266376223,"PAZ--LA",37872,26123,77445,"prd","pri",0,0,2005-02-01,1,6.00325565454031
"122","03003",2008,"02",1,197136.02213083,6.61707724247663,"PAZ--LA",24115,18600,64572,"prd","pna",0,0,2008-02-01,1,6.79046781306079
"123","03003",2011,"02",1,251892.023281745,5.1786645274401,"PAZ--LA",41068,33103,105864,"pri","pan",1,0,2011-02-01,1,9.88301065261701
"124","03003",2015,"06",8,251971.955550877,38.6550954795973,"PAZ--LA",21876.78,21056,79592,"pri","pan",1,0,2015-06-01,1,21.2869371911939
"125","03003",2018,"07",3,252031.904752727,14.0247220796223,"PAZ--LA",45937.94,12721.34,118304,"morena","pan",2,0,2018-07-01,1,19.7525587671127
"126","03008",2002,"02",0,105626.18276239,0,"CABOS--LOS",14951,9718,31065,"prd","pan",0,0,2002-02-01,1,9.92938310709958
"127","03008",2005,"02",0,105824.673261319,0,"CABOS--LOS",18329,9260,32887,"prd","pri",0,0,2005-02-01,1,10.1545807085039
"128","03008",2008,"02",2,106023.254890452,24.607135237682,"CABOS--LOS",25309,19566,47597,"prd","pri",0,0,2008-02-01,1,10.2780744968216
"129","03008",2011,"02",1,238545.650633718,5.46840523920205,"CABOS--LOS",19842,16967,62275,"prd","pan",0,0,2011-02-01,1,9.63348296475572
"130","03008",2015,"06",4,238768.645230667,20.3963129048844,"CABOS--LOS",15869,9819.4,58645,"pan","prd",1,1,2015-06-01,1,21.0610335785844
"131","03008",2018,"07",3,238935.891178378,14.7934134211591,"CABOS--LOS",32815.96,25179,102640,"morena","pt",2,0,2018-07-01,1,20.064197060501
"132","03009",2002,"02",0,11817.8208835461,0,"LORETO",2125,1896,5337,"pan","prd",0,1,2002-02-01,1,2.51222004370249
"133","03009",2005,"02",0,11825.1714992351,0,"LORETO",2121,1680,5646,"pan","prd",0,2,2005-02-01,1,2.63112791861224
"134","03009",2008,"02",0,11832.5254897109,0,"LORETO",3659,1584,6653,"prd","pna",1,0,2008-02-01,1,2.76830090231133
"135","03009",2011,"02",0,16738.6842851675,0,"LORETO",2635.59,1591.31,8246,"pri","pan",2,0,2011-02-01,1,4.97324229494748
"136","03009",2015,"06",0,16741.2859943981,0,"LORETO",2452,2176.78,5853,"pan","pri",3,1,2015-06-01,1,9.70856528523452
"137","03009",2018,"07",0,16743.2372763211,0,"LORETO",1698,1156.34,7894,"pri","pan",4,0,2018-07-01,1,9.48224226633873
"138","04001",2003,"07",0,46909.0592961542,0,"CALKINI",10022,9749,20697,"pan","pri",1,1,2003-07-01,1,1.32797984566847
"139","04001",2006,"07",0,46917.9991131646,0,"CALKINI",8707,6736,22908,"pri","pan",2,0,2006-07-01,1,1.09543311124385
"140","04001",2009,"07",0,46926.9389301749,0,"CALKINI",12219,11598,25669,"pri","pan",2,0,2009-07-01,1,1.66025683111713
"141","04001",2012,"07",0,52896.4462923092,0,"CALKINI",16740,7066,28335,"pri","pan",2,0,2012-07-01,1,1.85702930140288
"142","04001",2015,"06",0,52905.8597994467,0,"CALKINI",11714,9576.04,28976,"morena","pri",3,0,2015-06-01,1,1.74102607855842
"143","04001",2018,"07",0,52915.2776304631,0,"CALKINI",12055.63,7965,31821,"pri","morena",4,0,2018-07-01,1,1.86972870140277
"144","04002",2003,"07",0,216967.702193701,0,"CAMPECHE",46202,33609,91849,"pri","pan",0,0,2003-07-01,1,5.91676683380429
"145","04002",2006,"07",0,217030.536080309,0,"CAMPECHE",38736,32357,101223,"pri","pan",0,0,2006-07-01,1,5.71773459362932
"146","04002",2009,"07",2,217093.369966918,10.8545535649583,"CAMPECHE",57408,46923,112349,"pan","pri",1,1,2009-07-01,1,5.18499941519201
"147","04002",2012,"07",1,259040.648748639,4.54842053609474,"CAMPECHE",67079,25658,114170,"pri","pan",2,0,2012-07-01,1,5.36562493367642
"148","04002",2015,"06",1,259092.7065415,4.69909020694485,"CAMPECHE",41255.08,32574,106994,"pri","pan",2,0,2015-06-01,1,5.48330508844851
"149","04002",2018,"07",2,259144.788245916,9.0931854306368,"CAMPECHE",71056.28,33707.79,139308,"pan","pri",3,1,2018-07-01,1,5.43356873890959
"150","04003",2003,"07",0,172158.304553311,0,"CARMEN",18468,17610,48554,"pan","pri",0,2,2003-07-01,1,10.1397980375085
"151","04003",2006,"07",1,172231.449595911,6.84094460806064,"CARMEN",26197,24484,69503,"pan","pri",0,3,2006-07-01,1,9.97950784189185
"152","04003",2009,"07",4,172304.59463851,27.3521622316223,"CARMEN",38074,31654,74124,"pri","pan",1,0,2009-07-01,1,10.4665123268863
"153","04003",2012,"07",2,221122.207356965,10.6567840519931,"CARMEN",38426,33257,83797,"pri","pan",1,0,2012-07-01,1,11.1017310579444
"154","04003",2015,"06",5,221163.398501174,27.5248980674697,"CARMEN",38239,27328.29,82770,"pan","pri",2,1,2015-06-01,1,11.3993294528325
"155","04003",2018,"07",5,221204.608565591,26.6320356997048,"CARMEN",30130.77,29720,102256,"pan","morena",2,2,2018-07-01,1,11.8653983126603
"156","04004",2003,"07",0,70574.9329402695,0,"CHAMPOTON",11842,10753,26772,"pan","pri",1,1,2003-07-01,1,7.87696549910916
"157","04004",2006,"07",0,70593.5362950797,0,"CHAMPOTON",10323,9543,29297,"pri","pan",2,0,2006-07-01,1,7.36351370279676
"158","04004",2009,"07",0,70612.1396498899,0,"CHAMPOTON",17464,16078,35268,"pri","pan",2,0,2009-07-01,1,7.57222910451423
"159","04004",2012,"07",1,83016.0692267437,14.192743855813,"CHAMPOTON",19261,13371,37805,"pri","pan",2,0,2012-07-01,1,7.79535611703936
"160","04004",2015,"06",1,83008.8688289,14.6671074690771,"CHAMPOTON",17135.93,8500,38047,"pri","pan",2,0,2015-06-01,1,7.85955232095154
"161","04004",2018,"07",0,83001.6651237186,0,"CHAMPOTON",14608.11,13930,41906,"pri","morena",2,0,2018-07-01,1,7.38497166954942
"162","04005",2003,"07",0,24894.7373752227,0,"HECELCHAKAN",5278,5136,11179,"pan","pri",1,1,2003-07-01,1,0
"163","04005",2006,"07",0,24899.8362493212,0,"HECELCHAKAN",5872,5569,12611,"pri","pna",2,0,2006-07-01,1,0.520133686737258
"164","04005",2009,"07",0,24904.9351234197,0,"HECELCHAKAN",7046,6070,14143,"pan","pri",3,1,2009-07-01,1,1.35792473484427
"165","04005",2012,"07",0,28309.6703818241,0,"HECELCHAKAN",5514,5502,15255,"pri","pan",4,0,2012-07-01,1,1.57430750501483
"166","04005",2015,"06",0,28315.0302327029,0,"HECELCHAKAN",6857,4346,16222,"pan","pes",5,1,2015-06-01,1,1.49191488222648
"167","04005",2018,"07",0,28320.3925455065,0,"HECELCHAKAN",6183,5542.18,17610,"pes","pan",6,0,2018-07-01,1,1.27158989961919
"168","04006",2003,"07",0,31225.0197230279,0,"HOPELCHEN",5648,5439,11885,"pan","pri",1,1,2003-07-01,1,1.39232579240746
"169","04006",2006,"07",0,31234.8130829075,0,"HOPELCHEN",5103,4653,13213,"pri","pan",2,0,2006-07-01,1,2.47730691427854
"170","04006",2009,"07",1,31244.6064427872,37.7097342739488,"HOPELCHEN",9519,6093,15964,"pan","pri",3,1,2009-07-01,1,2.57081525594418
"171","04006",2012,"07",1,37781.4347482411,31.1853113652987,"HOPELCHEN",8384,7074,16715,"pri","pan",4,0,2012-07-01,1,3.02259842569426
"172","04006",2015,"06",1,37787.9108017953,32.2192990871079,"HOPELCHEN",8769.94,8080,18407,"pri","pan",4,0,2015-06-01,1,2.93716787168919
"173","04006",2018,"07",0,37794.3898299764,0,"HOPELCHEN",9680.47,5565.78,19459,"pri","pan",4,0,2018-07-01,1,2.90678632130029
"174","04007",2003,"07",0,8400.91772566991,0,"PALIZADA",1590,1546,3505,"pri","conve",0,0,2003-07-01,1,9.8335826512395
"175","04007",2006,"07",0,8400.84460748705,0,"PALIZADA",1905,1581,3806,"prd","pri",1,0,2006-07-01,1,9.05160820493795
"176","04007",2009,"07",0,8400.77148930419,0,"PALIZADA",2241,1594,4158,"pri","conve",2,0,2009-07-01,1,6.54500900972436
"177","04007",2012,"07",0,8352.33644319684,0,"PALIZADA",2383,2334,4995,"pri","pan",2,0,2012-07-01,1,6.89505564686733
"178","04007",2015,"06",0,8352.82775049146,0,"PALIZADA",3130,2248.21,5453,"pan","pri",3,1,2015-06-01,1,7.72693911294126
"179","04007",2018,"07",0,8353.31928345684,0,"PALIZADA",2309.59,1666,5884,"pri","morena",4,0,2018-07-01,1,8.3712229950174
"180","04008",2003,"07",0,8402.24323479586,0,"TENABO",2213,1755,4269,"pri","pan",0,0,2003-07-01,1,0
"181","04008",2006,"07",0,8404.23682443463,0,"TENABO",2973,807,4230,"pri","pan",0,0,2006-07-01,1,1.6508326505095
"182","04008",2009,"07",0,8406.23041407339,0,"TENABO",2680,2491,5307,"pan","pri",1,1,2009-07-01,1,1.19367899344533
"183","04008",2012,"07",1,9737.74421911109,120.995764515898,"TENABO",3071,2022,5766,"pri","pan",2,0,2012-07-01,1,3.16458111185095
"184","04008",2015,"06",0,9740.2912986204,0,"TENABO",3111.28,2829,6233,"pri","pan",2,0,2015-06-01,1,3.18391904936289
"185","04008",2018,"07",0,9742.83954807232,0,"TENABO",2857,2388.21,6663,"morena","pri",3,0,2018-07-01,1,2.7137200336342
"186","04009",2003,"07",0,50569.0799050867,0,"ESCARCEGA",6892,5520,15172,"pan","pri",1,1,2003-07-01,1,6.58037167857843
"187","04009",2006,"07",0,50574.4831895792,0,"ESCARCEGA",6290,4848,17091,"prd","pri",2,0,2006-07-01,1,7.62592372775114
"188","04009",2009,"07",0,50579.8864740717,0,"ESCARCEGA",8440,7759,19672,"pri","pan",3,0,2009-07-01,1,7.58611509168432
